iata_code,latitude,longitude,country_code,country_name,city_code_list,city_name_list
ALX,35.02404,-80.07867,US,United States,AFP,Anson County
GLW,32.9,-80.05,US,United States,IGC,Charleston Air Force Base
CLU,32.89851,-80.04037,US,United States,CHS,North Charleston
UOS,48.14461,-80.03767,CA,Canada,YKX,Kirkland Lake
GJA,45.34732,-80.03527,CA,Canada,YPD,Parry Sound
YOG,7.53034,-80.02699,PA,Panama,PDM,Pedasí
CAA,-3.44385,-80.00982,EC,Ecuador,ETR,Santa Rosa
SER,37.325472,-79.975417,US,United States,ROA,Roanoke
EKX,22.4,-79.96667,CU,Cuba,SNU,Santa Clara
QAW,-3.2689,-79.96157,EC,Ecuador,MCH,Machala
ANB,39.62953,-79.9559,US,United States,MGW,Morgantown
ETS,36.10613,-79.93701,US,United States,GSO,Greensboro
TNO,43.65,-79.93,CA,Canada,XHM,Georgetown
YMG,-4.383,-79.93,EC,Ecuador,MRR,J.M. Velasco Ibarra
RNC,44.2693,-79.9152,CA,Canada,YBN,Borden
GSH,-2.20584,-79.90795,EC,Ecuador,GYE,Guayaquil
YCI,9.35917,-79.90139,PA,Panama,ONX,Colón
YEU,34.7,-79.88,US,United States,HCW,Cheraw Municipal Airport/Lynch Bellinger Field
ECP,19.6872,-79.87996,KY,Cayman Islands,CYB,Cayman Brac Island
FMG,41.38,-79.87,US,United States,FKL,Chess-Lamberton Airport
SET,38.889444,-79.857139,US,United States,EKN,Jennings Randolph Field
GFD,47.69581,-79.85211,CA,Canada,YXR,Earlton
OXD,-6.77137,-79.84088,PE,Peru,CIX,Chiclayo
SDF,40.2084,-79.8331,US,United States,FWQ,Rostraver Airport
LJC,43.7,-79.77,CA,Canada,XPN,Brampton
OZR,34.19543,-79.76256,US,United States,FLO,Florence
PFN,34.62138,-79.73358,US,United States,BTN,Bennettsville
AID,42.43,-79.73,US,United States,OIL,Oil City
MZZ,43.45,-79.68,CA,Canada,XOK,Oakville
TGE,44.40011,-79.66634,CA,Canada,YLK,Barrie=Oro Beach=Barrillia Park
GRR,0.9592,-79.65397,EC,Ecuador,ESM,Esmeraldas
LOU,43.68,-79.63,CA,Canada,XLQ,Guildwood ON CA Railway Stn
NOB,8.914794,-79.599633,PA,Panama,HOW,Fort Kobbe
HEY,43.2,-79.58,CA,Canada,XGY,Grimsby
APT,8.95,-79.57,PA,Panama,BLB,Balboa
TVC,33.45128,-79.5609,US,United States,ADR,Andrews
AZO,8.97334,-79.55558,PA,Panama,PTY,Panamá
SZC,35.04,-79.5,US,United States,HFF,Mackall Army Airfield
PAM,45.16681,-79.49964,CA,Canada,YQA,District Municipality of Muskoka
LMH,46.3168,-79.46633,CA,Canada,YYB,North Bay
LIR,21.969969,-79.442692,CU,Cuba,USS,Sancti Spíritus
PLD,40.275939,-79.404797,US,United States,LBE,Latrobe
RCT,36.58597,-79.39502,US,United States,DAN,Danville
WBR,-3.995892,-79.371925,EC,Ecuador,LOH,Loja
RIK,71.4914,-79.3603,CA,Canada,YMV,Mary River
AUO,34.73,-79.35,US,United States,MXE,Maxton
HAI,42.4795,-79.33393,US,United States,DKK,Dunkirk
BRY,25.70444,-79.28889,BS,Bahamas,BIM,Bimini District
ERY,9.317,-79.28,PA,Panama,RSI,Rio Sidra
NCT,40.43,-79.27,US,United States,BSI,Blairsville
DHN,43.17126,-79.24267,CA,Canada,YCM,St. Catharines
IRS,56.53366,-79.23306,CA,Canada,YSK,Sanikiluaq
YPO,37.326686,-79.200431,US,United States,LYH,Lynchburg Regional Airport/Preston Glenn Field
